Nama,Email,Handphone,Gender,Age,Year Birth,Address,Location,Location Type,Device Model,Operating System,Wifi Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Login Hour,Digital Interest,generation,Brand,Activity,Email Provider,Phone Provider,Higher Education
"Silvia Maryadi, S.T.",silviamaryadis.t.1@gmail.com,89964112669,Male,40,1984,"Jalan Kutisari Selatan No. 332, Tangerang, 46881",Liberte Italian Cuisine,Restaurant,Google Pixel 5,Android,393,6.4,1872,67,1122,14,e-commerce,Millennials,Google,Siang,gmail.com,Tri,Ya
"Makara Januar, S.Psi",makarajanuars.psi2@aol.com,81351231714,Female,47,1977,"Gg. Kendalsari No. 3, Tangerang, 63272",The Post Coffee and Eatery,Cafe,OnePlus 9,Android,268,4.7,1331,42,944,9,news,Gen X,OnePlus,Pagi,aol.com,Telkomsel,Ya
R. Aisyah Zulkarnain,r.aisyahzulkarnain3@yahoo.com,85945889174,Male,42,1982,"Jl. Waringin No. 60, Jakarta Timur, 80635",Kedai Sinau,Cafe,Xiaomi Mi 11,Android,154,4.0,761,32,322,1,streaming video,Millennials,Xiaomi,Dini Hari,yahoo.com,XL,Ya
Citra Jailani,citrajailani4@aol.com,81985564279,Male,20,2004,"Jalan Rungkut Industri No. 05, Tangerang Selatan, 32792",Ramen Ya! Gandaria City,Restaurant,Google Pixel 5,Android,239,4.8,1676,56,871,4,news,Gen Z,Google,Dini Hari,aol.com,XL,Tidak
Galuh Kusmawati,galuhkusmawati5@yahoo.com,82334298375,Female,31,1993,"Jl. Asia Afrika No. 761, Jakarta Selatan, 12490",Menara FIF - Kantin 2,Compound Space,iPhone 12,iOS,187,4.3,1367,58,988,6,news,Millennials,iPhone,Pagi,yahoo.com,Telkomsel,Tidak
Dr. Laras Pranowo,dr.laraspranowo6@gmail.com,88884590258,Male,31,1993,"Jalan M.T Haryono No. 30, Jakarta Timur, 74862",Harton Tower,Office,Google Pixel 5,Android,99,2.0,940,35,564,22,streaming video,Millennials,Google,Malam,gmail.com,Smartfren,Ya
Galiono Utami,galionoutami7@gmail.com,89897525714,Female,21,2003,"Jalan Gegerkalong Hilir No. 9, Jakarta Timur, 96111",Liberte Italian Cuisine,Restaurant,Samsung Galaxy S21,Android,350,7.3,1802,66,1054,9,e-commerce,Gen Z,Samsung,Pagi,gmail.com,Tri,Tidak
"Gandewa Sitompul, S.Farm",gandewasitompuls.farm8@outlook.com,89722397081,Male,31,1993,"Jalan Jend. Sudirman No. 23, Jakarta Selatan, 73415",Satoru,Restaurant,OnePlus 9,Android,543,11.4,2956,82,1702,16,other,Millennials,OnePlus,Sore,outlook.com,Tri,Ya
Lutfan Maryati,lutfanmaryati9@outlook.com,83830948830,Female,42,1982,"Gg. Antapani Lama No. 0, Jakarta Barat, 36656",Warung Tekko Artha Gading,Restaurant,Samsung Galaxy S21,Android,340,7.7,2138,75,1053,21,e-commerce,Millennials,Samsung,Malam,outlook.com,AXIS,Tidak
"drg. Halim Hutapea, S.Kom",drg.halimhutapeas.kom10@gmail.com,81426878172,Male,42,1982,"Gang Jayawijaya No. 205, Jakarta Utara, 73434",Warung Tekko Daan Mogot,Restaurant,iPhone 12,iOS,424,6.6,1957,75,1301,0,e-commerce,Millennials,iPhone,Dini Hari,gmail.com,Indosat IM3,Ya
R.A. Ami Pangestu,r.a.amipangestu11@gmail.com,85209916595,Female,34,1990,"Jalan Tebet Barat Dalam No. 3, Tangerang, 47176",Kopikalyan Wijaya,Cafe,Google Pixel 5,Android,53,1.4,435,17,162,20,sosmed,Millennials,Google,Malam,gmail.com,Telkomsel,Ya
Bakda Nainggolan,bakdanainggolan12@gmail.com,85388836491,Male,24,2000,"Gg. Raya Ujungberung No. 82, Bekasi, 64692",Warung Tekko Kalibata,Restaurant,OnePlus 9,Android,215,5.5,1690,47,641,22,news,Gen Z,OnePlus,Malam,gmail.com,Telkomsel,Tidak
Talia Suryono,taliasuryono13@outlook.com,83892349496,Female,57,1967,"Gang Kebonjati No. 53, Bekasi, 05432",Los Medellin,Cafe,OnePlus 9,Android,462,6.2,2303,65,1099,22,e-commerce,Gen X,OnePlus,Malam,outlook.com,AXIS,Tidak
Shakila Rajasa,shakilarajasa14@gmail.com,88412014390,Male,43,1981,"Jalan Tubagus Ismail No. 60, Jakarta Barat, 88308",Menara FIF - Kantin 2,Compound Space,Xiaomi Mi 11,Android,215,4.9,1662,43,857,21,news,Millennials,Xiaomi,Malam,gmail.com,Smartfren,Tidak
Leo Lazuardi,leolazuardi15@gmail.com,83275255585,Female,49,1975,"Gg. Laswi No. 67, Tangerang Selatan, 30141",Gedung Cyber,Office,iPhone 12,iOS,189,5.4,1754,53,779,10,news,Gen X,iPhone,Pagi,gmail.com,AXIS,Tidak
