User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class,Location Type,Location,Nama,Email,Handphone,Login Hour,Year Birth,Digital Interest,Address
1,Google Pixel 5,Android,393,6.4,1872,67,1122,40,Male,4,Restaurant,Liberte Italian Cuisine,"Silvia Maryadi, S.T.",silviamaryadis.t.1@gmail.com,089964112669,14,1984,e-commerce,"Jalan Kutisari Selatan No. 332, Tangerang, 46881"
2,OnePlus 9,Android,268,4.7,1331,42,944,47,Female,3,Cafe,The Post Coffee and Eatery,"Makara Januar, S.Psi",makarajanuars.psi2@aol.com,081351231714,9,1977,news,"Gg. Kendalsari No. 3, Tangerang, 63272"
3,Xiaomi Mi 11,Android,154,4.0,761,32,322,42,Male,2,Cafe,Kedai Sinau,R. Aisyah Zulkarnain,r.aisyahzulkarnain3@yahoo.com,085945889174,1,1982,streaming video,"Jl. Waringin No. 60, Jakarta Timur, 80635"
4,Google Pixel 5,Android,239,4.8,1676,56,871,20,Male,3,Restaurant,Ramen Ya! Gandaria City,Citra Jailani,citrajailani4@aol.com,081985564279,4,2004,news,"Jalan Rungkut Industri No. 05, Tangerang Selatan, 32792"
5,iPhone 12,iOS,187,4.3,1367,58,988,31,Female,3,Compound Space,Menara FIF - Kantin 2,Galuh Kusmawati,galuhkusmawati5@yahoo.com,082334298375,6,1993,news,"Jl. Asia Afrika No. 761, Jakarta Selatan, 12490"
6,Google Pixel 5,Android,99,2.0,940,35,564,31,Male,2,Office,Harton Tower,Dr. Laras Pranowo,dr.laraspranowo6@gmail.com,088884590258,22,1993,streaming video,"Jalan M.T Haryono No. 30, Jakarta Timur, 74862"
7,Samsung Galaxy S21,Android,350,7.3,1802,66,1054,21,Female,4,Restaurant,Liberte Italian Cuisine,Galiono Utami,galionoutami7@gmail.com,089897525714,9,2003,e-commerce,"Jalan Gegerkalong Hilir No. 9, Jakarta Timur, 96111"
8,OnePlus 9,Android,543,11.4,2956,82,1702,31,Male,5,Restaurant,Satoru,"Gandewa Sitompul, S.Farm",gandewasitompuls.farm8@outlook.com,089722397081,16,1993,other,"Jalan Jend. Sudirman No. 23, Jakarta Selatan, 73415"
9,Samsung Galaxy S21,Android,340,7.7,2138,75,1053,42,Female,4,Restaurant,Warung Tekko Artha Gading,Lutfan Maryati,lutfanmaryati9@outlook.com,083830948830,21,1982,e-commerce,"Gg. Antapani Lama No. 0, Jakarta Barat, 36656"
10,iPhone 12,iOS,424,6.6,1957,75,1301,42,Male,4,Restaurant,Warung Tekko Daan Mogot,"drg. Halim Hutapea, S.Kom",drg.halimhutapeas.kom10@gmail.com,081426878172,0,1982,e-commerce,"Gang Jayawijaya No. 205, Jakarta Utara, 73434"
11,Google Pixel 5,Android,53,1.4,435,17,162,34,Female,1,Cafe,Kopikalyan Wijaya,R.A. Ami Pangestu,r.a.amipangestu11@gmail.com,085209916595,20,1990,sosmed,"Jalan Tebet Barat Dalam No. 3, Tangerang, 47176"
12,OnePlus 9,Android,215,5.5,1690,47,641,24,Male,3,Restaurant,Warung Tekko Kalibata,Bakda Nainggolan,bakdanainggolan12@gmail.com,085388836491,22,2000,news,"Gg. Raya Ujungberung No. 82, Bekasi, 64692"
13,OnePlus 9,Android,462,6.2,2303,65,1099,57,Female,4,Cafe,Los Medellin,Talia Suryono,taliasuryono13@outlook.com,083892349496,22,1967,e-commerce,"Gang Kebonjati No. 53, Bekasi, 05432"
14,Xiaomi Mi 11,Android,215,4.9,1662,43,857,43,Male,3,Compound Space,Menara FIF - Kantin 2,Shakila Rajasa,shakilarajasa14@gmail.com,088412014390,21,1981,news,"Jalan Tubagus Ismail No. 60, Jakarta Barat, 88308"
15,iPhone 12,iOS,189,5.4,1754,53,779,49,Female,3,Office,Gedung Cyber,Leo Lazuardi,leolazuardi15@gmail.com,083275255585,10,1975,news,"Gg. Laswi No. 67, Tangerang Selatan, 30141"
16,Google Pixel 5,Android,503,10.4,2571,84,2025,39,Female,5,Cafe,Bukan Ruang,Emas Pradipta,emaspradipta16@gmail.com,081714384850,21,1985,other,"Gg. Rajawali Barat No. 89, Depok, 31662"
17,OnePlus 9,Android,132,3.6,628,32,344,47,Female,2,Cafe,Kopikalyan Wijaya,"R.A. Queen Prakasa, S.Gz",r.a.queenprakasas.gz17@gmail.com,083348179881,16,1977,streaming video,"Gang Gegerkalong Hilir No. 766, Jakarta Timur, 54347"
18,iPhone 12,iOS,299,5.8,1431,41,985,44,Female,3,Restaurant,Sambal Setan,Raharja Yuliarti,raharjayuliarti18@gmail.com,083247648425,4,1980,news,"Gg. Joyoboyo No. 7, Tangerang, 18378"
19,Google Pixel 5,Android,81,1.4,558,16,297,26,Female,1,Restaurant,Sambalado,Tgk. Indah Mandala,tgk.indahmandala19@yahoo.com,089979532873,1,1998,sosmed,"Gg. Yos Sudarso No. 509, Tangerang Selatan, 09564"
20,iPhone 12,iOS,577,8.5,2774,89,2192,29,Female,5,Restaurant,Ramen Ya! Gandaria City,"Septi Sitorus, M.Ak",septisitorusm.ak20@aol.com,088883290419,10,1995,other,"Jl. Suniaraja No. 058, Tangerang Selatan, 84270"
21,Samsung Galaxy S21,Android,93,2.6,681,37,302,45,Female,2,Cafe,Liberica Cilandak Town Square,"Melinda Mangunsong, S.T.",melindamangunsongs.t.21@outlook.com,085918130175,9,1979,streaming video,"Jl. Gardujati No. 24, Jakarta Timur, 51838"
22,OnePlus 9,Android,576,11.6,2803,82,1553,43,Female,5,Transportation,Koridor 01 Halte Harmoni,dr. Candrakanta Marbun,dr.candrakantamarbun22@protonmail.com,088989048828,20,1981,other,"Jalan Tebet Barat Dalam No. 222, Bogor, 08625"
23,Samsung Galaxy S21,Android,423,6.5,2094,65,1372,23,Female,4,Restaurant,Sambal Setan,Tiara Lazuardi,tiaralazuardi23@outlook.com,088727188660,19,2001,e-commerce,"Gg. Cikapayang No. 63, Tangerang, 21278"
24,Google Pixel 5,Android,292,5.6,1401,46,949,37,Female,3,Transportation,Stasiun Haji Nawi,"Dian Prastuti, S.Farm",dianprastutis.farm24@yahoo.com,088600900354,13,1987,news,"Gg. Dipenogoro No. 979, Jakarta Timur, 22754"
25,OnePlus 9,Android,216,4.0,1711,59,748,58,Male,3,Compound Space,JEC Kedoya,Genta Latupono,gentalatupono25@yahoo.com,081562461597,19,1966,news,"Gg. Asia Afrika No. 22, Jakarta Selatan, 48441"
26,Samsung Galaxy S21,Android,91,3.4,1073,38,451,52,Male,2,Restaurant,Satoru,Cut Padma Nababan,cutpadmanababan26@gmail.com,081479558673,3,1972,streaming video,"Jalan Cihampelas No. 29, Depok, 55064"
27,iPhone 12,iOS,444,7.6,2372,77,1002,29,Male,4,Restaurant,Sliced Terogong,Ellis Natsir,ellisnatsir27@outlook.com,081489649243,19,1995,e-commerce,"Jl. Peta No. 6, Jakarta Selatan, 83286"
28,Google Pixel 5,Android,512,10.5,2409,89,1599,33,Male,5,Compound Space,Menara FIF - Kantin 2,"Puti Calista Sihombing, S.Ked",puticalistasihombings.ked28@aol.com,085723707269,4,1991,other,"Jl. H.J Maemunah No. 29, Tangerang Selatan, 60903"
29,OnePlus 9,Android,452,6.8,2387,77,1456,55,Female,4,Restaurant,Ramen Ya! Kota Kasablanka Lt.UG,"Ir. Raditya Sihotang, S.Sos",ir.radityasihotangs.sos29@gmail.com,085356355523,23,1969,e-commerce,"Gg. Cikutra Barat No. 29, Bogor, 20086"
30,Samsung Galaxy S21,Android,412,6.2,1899,78,1384,19,Female,4,Compound Space,JEC Kedoya,Paris Habibi,parishabibi30@mail.com,081598289066,24,2005,e-commerce,"Jl. Kutai No. 562, Jakarta Barat, 91582"
31,Xiaomi Mi 11,Android,260,6.0,1361,44,889,37,Female,3,Cafe,Kedai Inn Taman GBK,"Hj. Eli Lazuardi, M.M.",hj.elilazuardim.m.31@gmail.com,088524994926,19,1987,news,"Jalan Dipenogoro No. 93, Bekasi, 27324"
32,Xiaomi Mi 11,Android,197,4.6,1660,59,975,25,Male,3,Office,Conclave Arteri,Tgk. Adinata Hidayanto,tgk.adinatahidayanto32@outlook.com,088106811024,17,1999,news,"Jl. Moch. Toha No. 3, Jakarta Barat, 68813"
33,Google Pixel 5,Android,278,4.7,1484,55,917,21,Male,3,Compound Space,Menara FIF - Kantin 2,Puti Cornelia Sitorus,puticorneliasitorus33@gmail.com,081726143387,4,2003,news,"Gang Yos Sudarso No. 100, Depok, 05304"
34,Google Pixel 5,Android,46,2.0,457,14,105,58,Male,1,Restaurant,Sambal Setan,Syahrini Hutasoit,syahrinihutasoit34@gmail.com,089500410467,9,1966,sosmed,"Gang Antapani Lama No. 8, Bogor, 35125"
35,Xiaomi Mi 11,Android,593,10.2,2499,81,1616,38,Female,5,Cafe,Kopikalyan Wijaya,"Purwadi Sihombing, S.Gz",purwadisihombings.gz35@yahoo.com,088678119303,12,1986,other,"Gg. Ahmad Dahlan No. 37, Tangerang, 05329"
36,Samsung Galaxy S21,Android,32,1.2,580,19,153,20,Female,1,Restaurant,Sambalado,"Dt. Dagel Prasetya, M.TI.",dt.dagelprasetyam.ti.36@outlook.com,088177632142,17,2004,sosmed,"Jalan Setiabudhi No. 63, Jakarta Pusat, 10023"
37,iPhone 12,iOS,122,3.3,755,30,573,26,Male,2,Compound Space,Galeri Lafayette,H. Adinata Manullang,h.adinatamanullang37@yahoo.com,081780820656,1,1998,streaming video,"Gang Ciumbuleuit No. 0, Jakarta Utara, 16157"
38,Samsung Galaxy S21,Android,522,11.2,2808,93,2328,24,Male,5,Restaurant,Warung Tekko Kramat Jati,Wahyu Widiastuti,wahyuwidiastuti38@gmail.com,088775308250,8,2000,other,"Gang Raya Ujungberung No. 5, Bekasi, 48310"
